Grade distributions and FCQ ratings,,,,,,,,,
"Courses with 10+ grades (including passes), fall 2006-spring 2016 (excluding summer terms)",,,,,,,,,
,,,,,,,,,
YearTerm,CrsPBADept,Course,N_ENROLL,AVG_GRD,PCT_A,PCT_B,Workload_Hrs_Wk,AvgCourse,AvgInstructor
20067,CSCI,1200,61,2.63,38%,26%,4-6,3.41,3.64
20067,CSCI,1300,25,2.55,28%,32%,7-9,4.59,5.00
20067,CSCI,1300,24,3.50,74%,9%,7-9,5.37,5.74
20067,CSCI,1300,161,2.62,20%,34%,7-9,4.25,4.55
20067,CSCI,2270,57,2.78,33%,37%,7-9,5.26,5.66
20067,CSCI,2830,11,3.04,45%,18%,0-3,5.17,5.67
20067,CSCI,3104,35,2.91,32%,50%,7-9,4.88,5.54
20067,CSCI,3155,44,3.07,49%,29%,10-12,4.26,5.19
20067,CSCI,3202,41,3.52,77%,13%,4-6,2.60,2.84
20067,CSCI,3287,44,3.24,50%,38%,7-9,4.16,4.24
20067,CSCI,3308,38,2.80,32%,27%,4-6,4.67,4.89
20067,CSCI,3434,15,4.00,100%,0%,0-3,3.79,4.50
20067,CSCI,3656,13,2.44,15%,38%,7-9,5.00,5.33
20067,CSCI,3702,31,2.93,41%,41%,7-9,4.78,5.24
20067,CSCI,4229,40,4.00,100%,0%,7-9,5.26,5.44
20067,CSCI,4273,21,3.54,67%,24%,10-12,5.31,5.33
20067,CSCI,4308,49,3.37,55%,24%,10-12,3.65,4.11
20067,CSCI,4448,25,3.20,48%,40%,7-9,4.13,4.40
20067,CSCI,4830,38,3.81,89%,8%,4-6,4.95,4.95
20067,CSCI,4838,43,3.36,54%,41%,10-12,4.16,4.32
20067,CSCI,5444,21,3.74,74%,26%,10-12,2.93,3.13
20067,CSCI,5582,26,3.57,58%,42%,7-9,5.24,5.36
20067,CSCI,5606,15,3.29,58%,25%,10-12,4.82,5.45
20067,CSCI,5622,24,3.88,95%,5%,7-9,4.71,4.71
20067,CSCI,7900,19,3.66,84%,11%,,,
20081,CSCI,1240,30,2.97,50%,31%,4-6,5.08,5.75
20081,CSCI,1300,196,2.78,40%,21%,10-12,4.11,4.42
20081,CSCI,2270,85,2.65,37%,24%,7-9,3.20,2.83
20081,CSCI,2400,28,2.93,39%,39%,10-12,4.96,5.26
20081,CSCI,3104,53,2.81,29%,47%,7-9,3.21,3.33
20081,CSCI,3155,43,3.37,65%,16%,7-9,5.23,5.59
20081,CSCI,3434,34,3.58,70%,24%,4-6,4.80,4.88
20081,CSCI,3656,39,2.87,33%,36%,7-9,4.67,5.00
20081,CSCI,3753,57,2.96,39%,35%,7-9,4.74,5.10
20081,CSCI,4113,62,3.36,66%,21%,7-9,5.73,5.82
20081,CSCI,4273,32,3.15,48%,32%,10-12,3.91,3.86
20081,CSCI,4314,19,3.82,89%,11%,7-9,4.65,4.56
20081,CSCI,4318,43,3.41,51%,37%,13-15,4.51,5.12
20081,CSCI,4446,14,3.49,62%,31%,7-9,4.64,5.36
20081,CSCI,4830,11,3.86,100%,0%,10-12,5.50,5.80
20081,CSCI,4830,17,3.35,53%,35%,7-9,4.21,4.93
20081,CSCI,4830,13,3.52,77%,15%,7-9,5.42,5.69
20081,CSCI,4830,15,3.74,80%,20%,4-6,4.57,5.57
20081,CSCI,4838,16,3.34,50%,37%,10-12,3.88,4.31
20081,CSCI,5454,15,3.08,50%,25%,10-12,5.54,5.54
20081,CSCI,5622,26,4.00,100%,0%,7-9,4.96,4.96
20081,CSCI,5673,22,3.86,90%,10%,10-12,4.70,4.80
20081,CSCI,5722,19,4.00,100%,0%,10-12,4.53,4.53
20081,CSCI,5817,36,3.71,73%,20%,7-9,4.00,3.80
20081,CSCI,5828,27,3.82,89%,7%,7-9,5.12,5.59
20081,CSCI,5832,24,3.88,100%,0%,7-9,5.05,5.32
